area,bedrooms,age,proximity,price
99,5,44,7.526401547960033,127341
153,3,40,2.720716313183101,301509
181,3,46,4.044367947991136,313163
51,3,13,3.778288690358757,101131
183,3,38,9.523323889648507,337600
103,1,24,9.706205600094476,122120
155,3,19,2.6471389981125446,301477
53,4,1,1.1983164426775377,95290
103,4,38,7.480072356968018,157497
270,1,5,4.761909404834359,551504
240,3,16,1.7995622057880793,457444
195,3,24,7.153786950193383,327511
267,3,27,5.905949754346297,490646
93,5,1,9.824651398009955,201793
211,2,34,3.0466854627524103,398187
251,5,36,4.635800886938934,449722
239,2,4,5.882912230558806,483686
277,3,0,8.125299896080165,495272
63,3,39,5.939547910480528,115033
144,5,11,6.516101447757543,286548
97,5,35,3.035323464309467,204094
64,2,44,8.622268552797038,30000
249,4,22,4.857674922734281,475100
255,2,46,2.2686366476959234,459979
264,5,30,6.977691230548756,467971
298,5,10,2.9448140786677675,570355
239,1,9,1.8780625921536975,474751
89,5,2,8.75788217563845,169165
262,1,13,5.141460380395957,516292
257,4,15,7.743553414261988,470213
286,2,9,3.6152880382571957,552091
131,2,28,8.082731214258997,175937
160,1,9,2.007423343193773,336778
102,2,11,4.203760364153674,183372
73,5,29,9.802556361761757,107438
203,3,40,8.145907447312055,355428
266,1,0,5.475303372832194,538805
237,2,4,4.057997244056966,443082
173,1,19,8.849221300202288,301705
286,1,7,5.903629831760641,539981
90,3,42,7.825825160822,155984
206,5,11,7.786969122845476,370377
64,1,0,1.1615111071164264,150620
94,2,19,2.136284045133521,175325
114,4,27,6.93666429755268,192273
138,1,42,2.454578301572843,227807
120,1,36,3.2994401019004425,219436
58,3,46,9.519741587796464,42678
137,5,36,6.041640325374207,202303
178,4,11,7.756565562994124,350607
285,2,36,6.021826649043759,534614
185,4,48,5.972622533044527,323879
265,2,48,1.8473671911312812,460193
112,5,43,4.092968733481928,166072
188,2,27,3.5418780881786054,303741
292,3,46,4.516555290522519,539623
130,3,14,8.185097694018955,193083
185,3,5,4.347394011251784,323888
212,3,43,5.065271373085144,396173
212,4,19,4.576432514367848,417481
82,5,49,1.8406717477776604,124133
172,2,13,4.969649424257053,313470
54,2,1,2.7604834574006354,55050
283,3,8,2.680509661957373,577932
280,3,36,1.8463249399083972,515913
299,1,19,4.210038767275883,569555
90,5,25,7.817336963104756,91142
77,4,28,3.4879752152505645,148111
184,2,0,3.811141916969622,343887
250,1,34,6.784071919051812,409558
121,1,5,2.76256731328227,221395
61,2,36,9.07262137381181,38708
211,4,4,5.68171470926399,431076
82,1,32,5.028426462881953,103449
97,1,48,6.020381727362812,148150
296,5,13,2.494308820745759,598131
200,4,11,6.521258247752587,394281
111,1,41,4.2679066297060935,164617
265,4,19,9.07467706868157,511067
86,2,49,2.5196878600991752,97329
148,3,23,5.56345993478897,262455
221,1,42,6.383013664321162,365156
153,5,33,1.3004524160774311,319430
263,2,24,4.273238122805262,520614
268,4,49,7.593717112307496,469039
84,2,28,8.38339756704076,82252
242,1,38,3.818457953355541,440449
276,4,30,8.18733945144476,467771
150,3,46,9.7098028939305,252973
224,2,42,8.711865424675846,362977
255,1,49,2.0587958934339268,455094
180,5,22,7.657572988769866,311093
50,4,43,3.8770014919649025,39579
54,2,37,9.895743904708688,46267
267,2,19,5.3682308484389845,494986
296,3,22,2.1019050852304693,575340
191,3,44,7.5266699322465165,295288
152,5,15,3.9071007854759245,311585
76,5,49,9.973703413734956,97287
186,1,41,9.818042120690697,282731
256,1,7,6.905206162185226,500832
64,5,49,2.168438040565458,91075
139,5,20,7.1817489790752616,262686
91,4,0,1.8372743781402447,160355
173,3,7,1.2642774319215309,354747
254,1,28,8.406626015993375,437537
228,3,31,2.887776529153132,428671
112,3,37,4.411244135971876,182157
145,5,4,9.761116509785559,264708
280,4,46,4.031564516749929,526156
290,2,21,3.6684080315498373,539354
101,4,46,9.263871996604976,141062
145,4,33,1.996736007870623,291666
181,3,0,7.836241691031686,309615
271,4,25,9.892590099874965,471926
278,1,42,9.11166409697184,458670
200,3,9,6.865011268357834,349834
280,1,29,3.826547154934588,507373
286,2,49,3.2888978306048506,537217
192,3,17,8.37329594384315,369085
220,2,16,8.918397225565258,391531
78,3,25,5.728914212911236,110870
85,5,7,3.1990594670781953,188063
62,4,46,2.016488875700562,40638
209,5,39,1.7846152104864805,373973
120,2,48,7.4716970261847,118208
236,4,11,4.7810685506295245,435780
292,3,26,9.148238868500833,511918
135,4,7,7.657041706540873,274268
77,1,24,2.7213437612312803,66172
115,4,45,6.5239967693412915,164045
219,1,3,4.919549089583434,427793
94,4,32,6.1952475769175175,153238
111,1,0,7.642622110046655,218021
234,2,18,8.255762929034116,421942
294,5,30,8.593635937660519,547517
183,3,15,3.2857738711482227,312800
77,4,13,1.2800403992562193,134834
77,5,47,7.653652616482958,58077
157,3,4,1.9570935363019712,326666
93,3,40,3.834276297516709,148802
133,1,25,1.0343542071191243,247098
79,2,27,7.135025341614581,87696
239,2,1,2.5041881032409914,455020
124,5,49,6.897541687224924,193701
177,2,5,9.925683554510549,295983
299,4,8,1.6540378444901465,581321
296,2,32,1.6937021075631462,551363
141,5,40,4.063420834000074,233468
266,2,24,8.797478628262079,456678
280,4,47,2.9397688191219866,493785
239,1,12,4.243400379373128,458756
274,5,8,1.6165486596428162,588038
178,1,12,7.868397621330004,308877
170,1,30,4.6747570848350595,296074
76,1,40,7.833238597547585,88561
239,3,10,9.132470599121156,444668
170,3,3,3.094868323911599,319587
165,1,33,8.266564273059561,295064
254,5,37,1.5318450107042794,473194
282,4,45,9.089626493622227,506513
52,4,3,6.856916928028726,97319
152,2,37,8.868040517245163,193490
247,5,18,1.001695596009237,488814
249,3,5,2.5217296332039325,496523
204,1,33,4.507834486838428,360123
186,2,17,4.415526130372467,348950
111,4,12,3.040573446311596,229950
214,3,40,4.4345074588048,380677
274,3,22,2.1596384080022935,537294
100,1,18,4.714850163394234,162526
283,4,44,8.221188962433377,480547
221,5,10,5.311630567930161,431089
201,3,0,1.1620008005069349,426171
256,1,23,4.792996374213226,492210
108,5,6,1.2445751448175975,239523
167,4,24,9.696190696361183,308206
209,3,20,2.147085634805821,410641
145,5,14,7.3691949369755685,281431
265,5,0,9.754986906028773,524972
282,5,11,8.434351464999146,531361
229,3,6,7.293838376135833,445050
162,3,14,8.555148185506901,263411
111,2,20,9.836188239345649,169815
290,4,18,6.592100475281766,560580
235,1,28,6.032663261463938,437858
101,5,24,6.654142994169533,186144
61,2,32,5.794082980853995,92311
88,1,48,6.715801953187469,97433
179,2,31,5.0485798717530335,304849
180,3,48,2.965988645949764,306672
162,5,34,2.0822250386050807,309914
150,1,43,1.6150684197903435,217749
162,1,37,3.3698420537788008,301785
233,1,25,1.4151120790216045,439801
130,1,10,6.104537019274471,216177
236,1,34,3.5544560232116824,374633
162,2,7,8.420813272783288,284159
51,5,45,1.668167856895478,69689
179,3,13,3.0371634490733737,326873
269,3,9,7.572215323811313,492677
103,3,1,6.3892746674514225,187520
136,3,45,1.5804214412425077,222333
278,2,8,8.895155114459804,524961
273,4,2,8.895355865435615,504547
274,5,20,3.9736720348819645,536223
178,1,25,4.0636525901460825,339282
196,4,7,9.901255225151566,354761
175,3,47,6.635585544338244,291941
179,4,1,5.781848685112532,353943
102,5,5,8.543369651967321,181443
221,1,27,3.5676130452158477,400821
267,1,28,4.862643340567212,475259
209,5,25,3.4099900793950075,403970
247,5,24,8.102447619298584,448822
209,3,11,6.160144110716962,422121
296,1,4,6.929425631260635,574575
117,4,33,3.270765248554659,175590
232,2,47,2.982027712395836,384146
252,2,36,5.395371660846449,448413
233,5,14,7.638091741835441,430903
172,3,43,5.727157817681442,283700
194,2,35,1.2938110979110173,369554
87,1,14,8.816963556882598,127229
73,5,42,1.5821820416361843,127201
118,4,47,9.602420353486771,189911
165,5,22,1.2262776244954545,299090
147,4,5,7.250054105176379,274828
247,5,45,1.7398635734060348,453719
263,5,49,9.196089214916256,484728
188,5,43,5.179899126029885,287913
289,4,42,2.2377139733531384,501501
193,4,44,4.067341298108619,347756
146,5,20,2.4834220781208582,307108
250,2,22,2.5352372040138103,490788
173,3,42,9.53297488154298,255315
236,3,15,5.007215010563094,477092
119,3,46,8.099220375148235,141874
257,4,14,6.7564500505991365,512367
142,4,24,7.0878372610455305,222576
52,2,35,2.1852409462483466,61037
197,3,10,3.1076600213393712,396247
236,3,14,8.080753016389933,403272
213,5,3,9.736895858273046,428695
196,4,20,3.3640807833878656,368020
139,3,12,3.4441188827593585,266524
244,2,21,5.256074195298144,473963
196,2,18,9.85456281569894,318864
197,3,33,3.4206305124382395,380113
145,4,13,4.6627471867083745,306496
248,2,3,9.023320140611562,444771
101,5,47,1.026289293592258,202256
282,2,45,1.357893684897126,486998
210,1,26,6.436645093640973,374608
217,1,28,9.166421482415624,340595
177,4,46,3.149709943617349,331102
88,3,27,5.226775972126381,155075
131,4,34,5.0541877149203644,264276
153,4,7,5.256742114859591,321141
178,4,15,6.602677261567707,324671
60,4,41,5.2276938669161535,51226
269,5,35,5.02721327190212,514177
234,5,29,5.268595783881345,436442
266,2,17,6.317806971439373,524434
227,1,1,5.833067395162225,385507
200,4,48,8.687223978854538,372325
208,2,12,1.4454716814429995,417412
271,1,3,8.499853643257111,485240
91,3,25,8.595321513505517,143703
148,5,24,3.5641721937786475,305127
56,1,29,5.165667595142656,64458
193,3,10,4.94684639683692,330967
139,1,6,2.9665885091871727,256290
161,5,30,4.5711716237768485,314932
298,5,43,1.3994899495376898,580935
293,2,9,3.50039865503561,566367
109,4,38,8.350139579056464,184415
162,1,12,3.561060715866078,313980
51,1,30,8.36386001873423,51507
178,3,6,5.784395181439878,327865
97,5,48,8.91876409625044,116258
189,1,41,6.173015988379737,277135
246,5,41,1.2670140075826584,464477
86,1,35,7.078781867923803,125313
209,2,19,1.403682112212118,397899
296,4,3,5.055373170848206,592633
58,1,6,9.364840250258027,90399
282,5,0,2.4868354540406514,584022
148,2,43,4.508851176473897,249866
196,1,44,7.568742779636306,287999
97,3,41,8.940327004853629,116847
257,4,46,7.038487042682571,487340
180,1,12,3.323559287720523,338458
197,2,21,7.071470676245945,385577
201,3,20,3.67054876993681,364184
103,2,21,7.465863068368617,162349
169,2,27,9.586298148265366,265414
210,3,8,7.4925410599565945,401376
201,2,25,8.765924526211712,361070
165,3,8,1.0189345885829506,343954
124,1,14,7.4581491225843495,222546
162,3,9,8.466288011787253,287405
249,3,23,1.3650286379021328,479364
213,4,41,8.844379545594077,325614
215,3,7,3.3102480547904127,434217
153,3,23,6.987628917802497,266505
133,1,15,8.20319391121066,213625
276,4,48,6.963980617534199,485363
161,5,25,1.8305631286593151,312109
266,1,26,6.366893669743315,474440
148,1,36,5.946252910499292,224708
202,5,3,9.102891412668443,385277
142,3,49,4.638157566797883,236492
195,2,23,3.889729873783451,342139
177,4,18,7.7486568799281965,309242
159,2,35,4.71407793475057,265337
131,5,38,6.814865575045567,215021
243,1,9,6.818050811121463,445346
103,1,24,8.99235157924106,155232
212,4,17,6.388231620871876,362011
257,1,18,5.519382489657882,443902
238,1,35,2.249841937568653,438622
218,4,9,2.041638460108348,424738
277,4,32,2.3888940875477145,547740
210,5,49,2.5466363319438505,406662
117,1,4,6.740893833972705,205970
82,1,46,7.668831252471207,63216
191,5,48,5.769923706337768,351242
70,3,34,8.46115959290942,82672
97,3,43,9.921369040602698,86654
197,3,33,8.380113662074205,306129
297,5,32,7.253941363083633,581069
177,1,20,5.79243429493432,337060
185,5,16,5.039677645072374,303458
184,5,21,1.759531424900881,336046
244,3,47,4.594318735552219,455845
194,2,36,9.191211731039209,315674
177,1,14,8.272203669158976,317675
82,3,34,2.944462285105185,129038
225,2,27,5.199470062274942,420092
253,2,6,8.350508823026901,468364
236,4,31,1.6064609930697027,444215
164,1,10,4.486533271017934,321742
263,2,9,8.666571131865528,487708
168,3,8,4.635080777531114,332872
71,4,13,1.6985318025829677,143656
287,1,12,5.882809316790263,527858
207,5,24,8.755682454264658,403389
87,3,1,6.312569886578437,163536
279,2,34,3.036511973928086,511716
158,2,6,4.458156581236432,323275
100,3,20,5.0511102506373895,143327
231,2,17,6.213397184384742,468658
57,4,2,7.834159231773517,89246
76,1,41,1.8898625587657185,81190
76,4,38,9.006868297158096,127084
275,2,40,1.1107873271446804,505182
70,5,48,4.330471012068298,100212
79,1,10,1.2467827897539188,161119
146,1,38,4.5367680281076215,259999
77,3,23,5.732313389859914,123333
160,3,45,5.605132479233606,249028
241,5,18,2.4906551232543883,480926
274,1,3,6.81166459086051,507555
246,5,25,1.403006054542014,489965
110,3,37,7.857161381191738,191277
97,3,41,9.519799905941916,135519
196,1,31,4.057919444360061,349843
53,4,38,5.6551544354289875,74494
84,2,44,4.41019250252933,128150
241,3,45,1.0603935127365396,425140
98,3,35,4.4728705260560435,154470
66,4,39,8.125482333352117,123623
221,4,36,6.363899579651337,418436
269,5,32,1.9113392315364304,511374
207,5,35,8.624255407244066,348814
270,2,2,5.779768103967186,506370
95,2,8,8.575510255702085,166448
166,1,7,6.221993669065264,331042
55,5,32,6.037196003541459,84457
148,3,5,1.9473326667731115,299406
173,5,40,2.5062375982476515,309585
282,3,38,9.74822730846932,498846
86,4,3,3.0563807207929368,157315
73,5,12,9.79706906191331,71299
142,4,48,5.78721435871837,259800
290,2,1,2.222101423575434,557773
95,2,4,1.8937198247832365,180034
230,1,43,2.87977663635166,420728
144,5,26,9.330735970228021,269035
148,4,31,4.727352018954042,266505
237,3,20,4.55890841193623,422331
274,2,7,3.818856349631566,525878
165,2,37,2.3235566550992957,277812
240,3,7,5.390660774731658,460282
262,4,49,2.1704300426002483,508787
209,4,2,8.519322127440947,342655
264,5,43,4.333572876477758,480104
210,5,2,4.373232110036167,411452
116,1,21,5.266057856348403,164534
177,2,5,4.997149418491764,345724
67,5,1,9.953721757533893,79931
74,4,22,5.908430090964723,90459
283,3,43,1.793815334108836,546052
272,4,1,6.46189607419237,560701
103,2,37,2.3642586358289197,165656
107,4,16,1.2784388025820776,187259
116,1,34,9.736679383095233,140205
153,2,33,7.961850023811075,263350
223,3,22,9.820980931723902,392223
73,1,29,5.3009060322001815,93474
163,2,7,5.790317780340785,306309
81,3,21,2.515032603272172,142671
224,1,43,3.22216684000827,424803
135,1,35,8.546942934125454,182282
200,2,4,4.205670824058347,367692
243,5,12,8.44133476416777,429124
176,1,28,7.381123518583286,281294
204,1,30,2.5945383274467897,348187
283,3,46,5.5670172950776795,511526
179,4,15,7.096485893668452,327936
267,2,41,3.115334933234426,465841
66,2,29,8.476196594680692,82401
153,5,15,5.903448917906681,316819
210,5,11,2.4871784539834287,428720
186,2,16,6.2468598354814215,283895
92,5,15,9.997424237403226,183755
295,3,11,2.354693424970722,597165
225,2,7,8.350812371075753,450374
88,5,19,2.865781028688022,189485
270,2,2,8.041494965140785,533602
219,4,15,7.611201308092719,409049
296,1,29,3.704404470403891,544232
75,2,44,3.9324080580800485,103807
148,1,22,8.132692527666272,224160
99,5,27,5.153009606985814,178912
202,1,39,7.577362258406279,279577
201,2,4,2.331857326292513,397199
62,4,19,8.673020037113982,108528
109,5,39,7.397962450140872,168896
299,2,43,9.162485279513506,553737
184,5,0,2.191351411314752,376768
106,3,29,6.337130503245379,186367
85,1,20,6.392085265362926,105474
222,3,19,4.181146664921042,438333
69,2,5,5.12619782112332,122020
114,4,21,1.3418340696086812,215895
57,5,17,7.712740347643108,31958
287,1,7,5.943902314628566,537192
193,5,38,1.519669466822564,369670
191,2,31,7.12680303664437,341940
253,5,32,5.201038695080691,504213
164,1,15,1.310151334825,352149
264,2,11,9.72646954163286,503292
192,5,37,9.542009287804964,313048
141,4,33,5.616121745324778,234823
147,2,13,1.843051786353192,296563
115,2,35,7.7915909943873265,176434
81,4,32,5.4273799009515615,155430
264,3,22,3.722027304604419,551977
240,1,49,5.422763597757011,454229
135,3,44,5.70199730864918,242368
100,5,1,6.064405291201052,204236
202,4,40,4.971013422897939,386131
235,3,20,6.45179772825151,465969
112,2,1,9.268612395457396,183710
239,5,26,4.26041278388732,445044
174,5,8,7.531448168979542,311994
199,3,0,9.050073011418089,350221
107,3,10,5.103813481839432,165841
107,4,2,4.991102527437137,212042
135,1,22,6.419052868193016,200909
98,3,25,6.322660834802393,138716
229,3,3,8.259304080936493,442728
219,2,17,5.288350454004634,408190
119,5,5,9.96510654675497,216766
64,1,34,1.5352441198055269,118626
103,2,21,1.0285106372263155,207148
284,4,42,6.761784804036615,542568
237,4,14,3.68591421125689,463169
150,3,21,3.163441498295354,310418
274,3,36,3.807091720038524,515159
57,4,41,3.304428085944589,79851
102,3,11,1.2771104469440306,230844
109,1,46,9.743797381515298,110837
285,3,48,2.9867093960750357,562538
157,5,41,7.606267863303756,254326
54,3,37,7.863367552247578,30000
152,2,17,9.363316582065064,263253
245,1,44,1.2749451138404198,437078
55,2,34,8.84843504602307,82273
158,2,29,5.745035627558202,259616
273,5,23,6.692896989692451,520824
165,1,41,6.800232494089303,231486
143,1,29,8.378180244862548,236367
96,1,13,4.000665899431994,148448
148,1,5,7.59746070873994,271879
104,1,2,5.757202987499774,173647
217,5,15,8.140546128748129,362358
101,3,6,9.9149142949312,164049
193,2,13,2.805859156633851,370699
62,1,8,9.951837774039982,88862
163,3,14,1.808309388544966,349078
173,3,20,1.0208579311433248,374143
155,2,34,1.3974574256004813,296295
207,5,1,4.076041642630855,423192
196,4,26,6.696156976105907,323972
194,4,1,1.6212658679906466,402934
169,3,34,1.0509923307661055,318043
112,2,17,9.433819256129153,165858
68,4,13,8.397339723459368,113672
141,3,19,8.28264854025128,259024
107,5,17,8.959818479517793,160832
232,4,9,7.300308454948939,421818
139,3,24,1.9396371677327329,256515
278,3,1,4.591901692663507,534735
267,1,24,7.508345378181666,444633
166,5,32,3.523010147123688,287453
111,1,35,7.186657277226138,131420
72,2,30,1.220486034408871,142066
176,1,13,3.755236067916339,359280
186,1,0,5.9421730264945545,325380
189,4,45,6.68880846555618,330477
294,3,15,6.193365980157197,574503
178,5,45,7.279806484660865,269755
107,1,2,1.0547987341585516,214945
171,5,34,1.9084707997976933,374127
50,1,40,8.820498270512307,34440
288,2,5,7.135737796811451,540415
83,1,24,2.0163847841741016,125714
145,4,12,8.578669936587213,214657
175,3,33,3.180080960421102,325509
167,2,7,5.304338957757011,349434
97,1,20,2.3067686159619427,151195
138,5,33,7.39099050779536,192333
281,2,3,7.0016897891284104,520707
286,2,24,2.9000122404952258,561131
166,1,14,8.770606901713016,270576
178,2,3,4.61175421797741,323531
65,5,44,3.6326358196366764,93219
238,2,11,2.370966305180819,467739
280,5,31,3.395512112639837,509254
241,1,31,1.198242291014353,445663
240,3,27,6.24931743210504,426808
118,2,12,8.580076717095531,178281
71,3,30,5.940824044974776,76955
142,5,13,2.9734656573148817,299957
296,2,19,1.3030226039248545,563597
244,4,17,2.9316526593292256,436442
125,3,28,4.74509285263983,218560
203,2,5,7.836502858298168,386321
193,3,31,2.690585672839967,340626
228,2,28,7.478123080192175,389416
278,1,42,8.802401215166952,462006
135,3,1,5.0855216329752135,251639
234,4,22,8.39288792478334,446172
78,4,18,5.99191613231586,125759
255,5,30,6.7338175337281445,488122
269,2,4,5.736506143043824,495940
118,3,18,5.168554450762076,199483
96,5,33,3.1118809759826442,187520
290,3,9,3.7287465351494147,551244
143,2,24,3.609731070492481,274194
287,4,1,6.069600378584332,550084
239,1,10,2.0795832372150094,456168
293,4,49,9.251125216321016,544147
246,5,30,7.485896307548019,440854
253,1,14,4.6130106782187426,476841
193,5,8,2.427617300737402,403190
267,2,22,8.937929527494724,481840
267,1,18,8.414002810910487,484031
225,5,8,7.495493974454614,428391
134,2,34,3.4439234267011813,200735
88,4,20,4.62201973690302,159855
149,2,8,1.9247342720718104,275726
82,3,27,2.7013557225477856,154008
271,2,45,8.047149735850596,494205
150,2,6,7.435348469656154,230712
72,3,15,6.341371866783412,139769
299,5,15,9.061540533335556,554471
59,5,32,6.249398660317409,77134
295,2,3,5.202711999672497,552738
118,3,3,4.063336716751865,231452
149,3,38,9.464036551625552,229016
83,4,39,1.7444391537191815,159816
229,5,16,9.377986348547276,405282
272,1,36,8.440431939379165,504013
187,5,38,2.1693693208213114,363447
299,5,28,6.084859219077282,566395
196,4,35,8.798931835741783,329389
235,1,37,6.146282472464383,401137
145,4,38,9.1647983940456,221349
50,1,49,9.486854351344382,30000
297,2,36,4.801460699658753,539812
118,1,34,4.395822952656912,172210
286,4,6,9.42689038572241,542354
53,5,26,7.076260550347013,52892
65,1,27,2.0442041321335234,104228
73,1,21,1.3806257430041309,118635
129,3,13,6.081661458975368,243526
296,5,6,9.37153868894582,583923
51,2,36,8.598238321652365,52782
290,4,21,7.082629718179028,549948
269,2,4,2.2520426400197877,541436
177,5,1,3.2880824537382605,355104
209,1,26,8.879601038973545,366154
268,1,20,2.6452651299121044,523583
133,5,37,3.505954674253911,205123
201,1,14,2.1664058607589776,389734
189,1,20,7.0849740827297,354937
227,1,9,9.495840748268886,395394
212,4,22,3.4207122843584736,393405
173,4,38,5.2786594706506635,293209
82,3,4,6.709057657400838,111357
210,2,0,9.995196233940677,382543
238,5,12,1.943272584978149,479882
228,5,20,5.487137195551382,437504
220,5,25,4.4660810791225005,425989
150,3,49,8.792381487001197,206078
61,4,44,5.283709579104903,77045
116,3,20,1.9987977212663328,225869
114,5,17,6.709817307579253,192683
210,2,36,7.937025564374918,362717
217,1,44,1.0259312649905312,391484
123,4,31,8.730610168785667,178723
92,4,35,2.6742070000509908,161284
93,3,16,5.968624281880401,149342
78,4,34,4.742177506187051,132230
190,5,48,7.476884349494774,314832
61,5,10,4.340454533071677,89502
144,3,20,8.827868590135397,244200
95,5,25,7.574467248629112,156715
179,2,3,6.829418539566293,309230
292,3,33,8.166165360065689,540179
291,2,47,7.7862073143554404,520033
84,1,17,1.32344807429398,131983
264,2,39,4.552609184603453,463044
130,1,34,9.377265675848408,181273
139,1,40,2.131518420930036,217165
57,2,28,7.633868953888461,70638
142,3,28,9.771326302017966,225122
203,5,37,1.4697876614047447,364779
251,5,41,7.139744925639494,433851
139,1,20,5.213387271709274,260687
211,1,41,6.2125772983725,385648
164,3,12,1.7680720283589237,332934
154,4,48,1.3870625668024554,268839
184,2,40,7.001799944958295,294191
245,1,16,8.40978486838646,447945
107,5,8,8.038138014396704,192327
294,3,40,5.894251550796136,501327
163,2,0,1.8988013902256036,347143
286,3,1,7.192399994524124,576954
124,2,47,3.1769999519873133,209860
206,2,28,9.199618324906453,326169
169,1,32,8.544388235911345,255541
213,3,9,7.3844467037865185,357923
266,3,49,9.539613602480173,482222
70,5,39,1.2827963936014564,112451
298,5,20,7.625803825546858,609536
213,1,27,3.972185014027648,423243
187,1,10,9.154592971177287,305158
150,4,33,3.4000767699577983,255834
250,5,7,7.523708493835153,489705
201,2,21,8.898823176857032,311415
241,3,7,1.3749113654441418,474360
276,1,48,4.578828216328326,475342
226,3,14,7.860781288197448,450719
148,3,16,5.0942700055682835,272749
289,4,22,3.4052736681423577,553278
85,5,23,2.97824813940871,144479
259,1,44,2.183664402247401,485962
290,3,18,8.71416603870654,523494
280,1,4,6.178198629264004,529103
145,2,31,1.6874645049231038,247780
201,4,43,4.4432229121357185,326433
200,2,0,4.309602857245989,368531
239,1,22,2.6356527163851666,437782
273,1,36,4.919568629249716,485137
86,5,7,3.988894288538228,165667
61,3,12,4.076233349429643,102840
162,3,7,7.651239020091628,283970
232,2,22,3.009370469546767,463935
62,4,42,6.7767396296981985,87075
72,3,0,6.135846614928414,125618
266,5,44,6.1128326110408056,487521
148,2,23,6.967066115275983,240722
154,2,34,5.935438325760885,197453
79,5,23,8.913296033617462,115843
66,4,16,7.080220827552338,106711
162,5,4,5.9226692623424935,283133
111,4,19,8.467868082588804,190648
133,5,20,6.455319084401317,233111
161,5,39,3.620298230066611,296657
266,1,30,2.863854263589141,487672
135,2,45,2.370950070964109,248164
190,5,35,9.095096912914915,329049
236,5,10,7.3912188861825925,470092
68,3,14,9.436405943478887,111512
226,2,18,6.429626251434487,389460
149,3,6,5.260607933454213,265916
189,2,27,1.537448400738004,362344
238,3,42,7.044780533914268,406465
282,5,4,6.23987883791408,549028
196,5,4,9.911880042288592,389171
125,1,29,3.152429000040187,204030
58,3,31,5.776636197581523,51738
248,4,7,6.858616016062654,458030
77,1,9,6.801320572681092,159640
255,3,37,6.0516418865356245,454177
272,3,46,7.992352092945029,445753
177,1,31,2.844830885741348,278386
101,5,47,7.530644802469743,129854
132,3,27,6.577611142897803,215181
299,5,16,9.06467600615116,580660
160,1,30,8.624749951302235,268923
193,5,7,3.8363233521929794,384691
166,2,39,3.4861359247763777,276485
118,4,24,9.834879914672031,189617
148,3,8,5.745386628237309,239298
189,4,1,9.15778867522993,390832
74,5,14,2.47492921402434,159707
229,3,49,6.785370233201569,407412
172,5,2,8.288741686245276,304073
